,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
90,0.9088913093492883,-0.23196572888371125,0.006853678602029547,-0.11794573497933067,0.15017165269934307,-1.9073095736339596,-0.49999999999999994,-0.70362680109559,1.3565359530675913,2.272339484523165,2.2723394845231644,2.272339484523164,-0.9805521997130862,-1.2888204801391108,-1.3034629631314396,0.43789200187578303,1
21,-0.9945459877172841,0.14891850248678953,0.3735856037984229,0.19969517968316947,0.6024127217479477,-0.47294176315265585,-0.49999999999999994,0.2568561036981855,0.382391248979937,1.7105616103592625,1.7105616103592616,1.7105616103592622,0.12690902350948383,0.5700382176002443,0.8872165679408345,-0.8303576643902516,1
65,0.24268825537598798,-1.4011356796096155,-1.520194009920668,-1.4463742114166784,-1.5195530068159846,3.4715697156709298,-0.49999999999999994,2.4037174307445386,-0.8540260405966572,-2.194141391545405,-2.194141391545406,-2.1941413915454047,-1.8312053307468446,-1.739942576484442,-1.2457961163459854,-0.5412624907609173,1
78,0.6043413418186367,-1.2818080248448087,-1.309774052840769,-1.4611482074474929,-1.4873322690720636,-0.39655531170690594,-0.49999999999999994,0.09610732260721606,-0.7364529912953965,-0.10307930437976402,-0.10307930437976512,-0.10307930437976373,-2.158139804988769,-1.8330285911407729,-1.0805552587727716,-1.0880155228862851,1
67,0.31882574725865087,-1.1214991553122862,-1.1053660945345796,-0.989611500797348,-1.0638597158662455,0.15795374323261188,-0.49999999999999994,0.23207210308069431,0.15360031484677317,-2.034624217400106,-2.034624217400106,-2.0346242174001055,-2.067327103402101,-1.8147929342611442,-1.1400338484302048,-0.9203461401271941,1
55,-0.04282733918399788,-1.4493488734539832,-1.4961460148258205,-1.2863225877495301,-1.2767467331028681,-0.6136908727610284,-0.49999999999999994,2.2076342162285902,-0.9190001547271373,-0.7220752953566633,-0.7220752953566649,-0.7220752953566633,0.015039558732043578,-0.8715325410196829,-1.568208398786852,1.7779143902659174,1
45,-0.3283429337439837,-0.7803908088633865,-0.8588741448124141,-1.1939851125569434,-1.2525811797949267,1.1021751569370204,-0.49999999999999994,0.7234439791670998,-1.5904256530869523,0.11885763356152682,0.11885763356152647,0.11885763356152733,0.2118101240179497,-0.11219978855185352,-0.4144432479900405,0.672592169229824,1
111,1.5179912444105914,1.285544547367748,1.268171021326679,1.438248513599734,1.3319822835210138,0.29799557088315337,1.9999999999999998,-1.5633045002062063,1.4167188316370736,-0.014651305668785359,-0.014651305668783922,-0.014651305668784816,1.0251606223120302,0.7229932965352374,0.2500419409908287,0.7606826488383102,1
107,1.403785006586597,1.3204991129049133,1.2092534333443097,1.189552913747699,1.3860670933054522,1.001741118925016,1.9999999999999998,-1.56325846281909,1.7011147552728083,-0.09440989274143974,-0.09440989274144011,-0.09440989274143782,1.0819431989857977,0.25184003247904996,-0.6470100349374832,1.8052540223807743,1
79,0.6233757147893024,-1.5698818580649014,-1.3145836518597374,-1.3638860669113024,-1.1846874824059501,-0.08959494200824429,-0.49999999999999994,0.5852286797500449,-0.1264520484671434,0.13966422149352947,0.13966422149352914,0.13966422149352997,-2.1586527666523887,-1.8339263465563866,-1.0816354486616315,-1.0873505341096201,1
53,-0.08089608512532932,-1.4843034389911487,-1.5213964096754093,-1.4106703876755458,-1.4436041249910285,0.15795374323261188,-0.49999999999999994,0.48070943596704474,-1.3172109839203474,-0.46372682853438146,-0.4637268285343817,-0.4637268285343811,0.157738757754189,-0.7026423034575635,-1.411786005039006,1.7435436591145326,1
104,1.3086131417332685,1.4241574796703045,1.4497333842927655,1.6426221253593256,1.5989541105420717,1.7111449226295268,1.9999999999999998,-1.5631550721784069,2.1620852467424143,-0.8295759996719853,-0.8295759996719841,-0.8295759996719843,0.7479936903503379,-0.07965615473590254,-0.899485697025175,1.756432495862514,1
48,-0.23317106889065511,-1.3854663916101966,-1.332619648180872,-1.2050656095800507,-1.14556230085976,-0.8492157647187573,-0.49999999999999994,0.025538764601601118,-1.2702844540570273,-0.8382454113103172,-0.8382454113103172,-0.8382454113103168,0.31360890004398456,-0.30112119382482416,-0.8541797121702758,1.267962642325322,1
76,0.5662725958773053,-0.8406573011688456,-0.8444453477555062,-0.7827755563659563,-0.8900978801758159,-0.25722076601419547,-0.49999999999999994,0.11778174905009675,0.30626825025461385,-0.4481218875853684,-0.44812188758536936,-0.4481218875853683,-2.1663606491732756,-1.816532335378894,-1.0428348740867799,-1.1399974812083362,1
23,-0.9564772417759526,0.5816319172399859,0.5972319581804887,0.3363546429681961,0.21001016565234015,-0.08181484047210309,-0.49999999999999994,0.14529466463802776,-0.321334843477726,1.6897550224272653,1.6897550224272644,1.689755022427265,0.041157678164613666,0.5227938388536322,0.8898787520218515,-0.9210306121277573,1
6,-1.3942678201012644,0.036822826798638304,0.04773527026326406,0.13813686288811158,0.21116090628605058,0.3878203795276926,-0.49999999999999994,0.6032405473636077,-0.6761958335414557,0.3321251598644891,0.33212515986448765,0.33212515986448976,0.7688326874268804,1.0361977171570835,1.0677401010145815,-0.37213848386088505,1
7,-1.3752334471305985,0.23088093202221466,0.1944280403418255,0.3314299776245924,0.34809904169771405,-0.7226122942670051,-0.49999999999999994,-0.22958520688554973,-0.4047369304152591,0.38934327667748153,0.38934327667748014,0.38934327667748225,0.6901698539312539,0.9797513454004478,1.0468262824028622,-0.4289308897528659,1
57,0.03331015269866502,-1.1769443282333096,-1.3121788523502516,-1.2346136016416795,-1.2801989550040027,1.167952379015305,-0.49999999999999994,1.139435044741111,-0.8304606157844392,-0.7931644707909836,-0.7931644707909844,-0.7931644707909836,-0.1918054738242444,-1.0343068198129393,-1.6487677132065988,1.6587579291588064,1
56,-0.023792966213332156,-1.463812831607294,-1.4071684329748941,-1.2444629323288903,-1.1582204478305875,0.8157259640154583,-0.49999999999999994,1.6781578394003696,-0.6332044912579526,-0.8035677647569822,-0.803567764756983,-0.8035677647569822,-0.04473592380222276,-0.9372931252133119,-1.6248477164863813,1.782140611361612,1
97,1.1182694120266112,0.14409718310235375,0.4854087809894558,0.31911831426558157,0.6634019753346552,-0.679468094839313,-0.49999999999999994,-0.22080175295147622,1.733513097026306,-1.1451425833072573,-1.145142583307258,-1.1451425833072575,-0.3774340085543686,-0.7399552629189664,-0.936265688559294,0.6517750898296495,1
35,-0.5948241553333039,0.07659871172023935,-0.020801515757045082,0.07042271441354653,-0.07882573340923855,-1.2205387925800415,-0.49999999999999994,0.07482384345510527,-0.6246379021266026,0.3355929245198248,0.3355929245198223,0.3355929245198245,0.014437050360283532,0.5113474573045695,0.8965444405319896,-0.9555533673429066,0
73,0.47110073102397665,-0.8406573011688456,-0.9851261190603515,-1.2555434293520011,-1.0857237879067663,1.1856344279610807,-0.49999999999999994,1.1267601220508872,-0.04164747911458769,-1.1035294074432682,-1.1035294074432689,-1.1035294074432684,-2.2582226617424133,-1.8655722249567286,-1.0371833836992144,-1.2478048360146494,0
36,-0.5757897823626381,-0.13312868150275922,-0.17350628460931244,-0.03422642413805114,-0.19850275931522948,-1.6427861214051591,-0.49999999999999994,-0.26139597065029974,-0.7630638992042487,0.29051198400049993,0.29051198400049855,0.29051198400050066,0.050131761310952594,0.49137239930719595,0.8248004442831695,-0.8423999911926797,0
41,-0.4425491715679781,-0.8069080654777884,-0.7121813747338561,-0.5525474515524393,-0.5863023528759921,-0.7289778318874842,-0.49999999999999994,-0.09572176809995964,-0.9121305351663868,-0.5521548272453601,-0.552154827245361,-0.5521548272453599,0.056604856112652036,0.17031261879874193,0.24615086043618822,-0.21210070206601528,0
42,-0.42351479859731234,-0.7285616254806944,-0.8360285494723111,-0.7175237405631949,-0.834862329757667,0.1296624649193712,-0.49999999999999994,0.27441272347973333,-1.1792382985688177,-0.4238475349980473,-0.4238475349980482,-0.4238475349980471,0.07837878937173247,0.096584455291545,0.09272321554295936,-0.02250300239757169,0
13,-1.2229584633652728,0.5346240532417295,0.4397175903092497,0.5567334170945023,0.493092361545357,-1.2467082250197892,-0.49999999999999994,-0.5617695190224156,-0.17656366171394366,1.7851185504489293,1.7851185504489293,1.7851185504489293,0.4661548742771416,0.8766778017454208,1.0900364640860452,-0.7006175301232396,0
