,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
77,0.41527676465600616,-1.5967851621700095,-1.4303545407963043,-1.533609868036609,-1.3719638801709222,3.2745345263048966,-0.3779644730092272,3.0016243290773947,-1.1811892475648218,1.729967560051208,1.7299675600512074,1.7299675600512083,0.4605162970273495,-0.18294685520308887,-0.7868089955764855,1.0551606401642515,1
98,1.0312883337109513,-1.1692468394069806,-1.1682514032971631,-1.1865969013592559,-1.217197683735519,-0.6580808935492928,-0.3779644730092272,-0.39963173895320714,0.13850290825174255,-1.007377851247929,-1.0073778512479297,-1.0073778512479288,-1.0733587924003976,-1.6055601000479447,-1.5227181651556045,0.7730263004105801,1
7,-1.7726263944012128,0.6066815782240649,0.561440060054567,0.5888406317517452,0.6236549011948999,0.21970808203360478,-0.3779644730092272,0.3590955558129065,-1.3559248013730416,1.9747258748774976,1.974725874877497,1.9747258748774978,1.9654293080086715,1.4771618536134115,0.37189377768739595,0.8711898785792662,1
114,1.5198492333062528,-0.8253368918657309,-0.8389665951754991,-0.8213200943304632,-0.8009631305893724,-0.5523728060924847,2.6457513110645903,-1.3599111164779611,2.044377985323684,-0.8857882367858386,-0.8857882367858392,-0.8857882367858382,-1.8038144557900158,-1.5682479235649176,-0.692425173473482,-0.8570349431495653,1
1,-1.9425606203474046,0.5305703603255914,0.575633370749467,0.5061727227925974,0.5823198300972449,1.522800505592076,-0.3779644730092272,1.4002795367409586,-2.089951010158938,1.9391964420801333,1.9391964420801324,1.9391964420801342,1.9271707113357972,1.8836003089120852,1.0835456672720165,0.2907244043246345,1
9,-1.687659281428117,0.6480259435022477,0.7251362434024063,0.7522539401593633,0.8005305542639312,-0.5490780085613634,-0.3779644730092272,-0.2007664776670098,-0.7620844115366113,1.864189861730144,1.864189861730143,1.864189861730144,1.9233493063733411,1.3582725492884886,0.21978220489582406,0.9754084296914616,1
15,-1.5177250554819253,0.9308589877916368,0.9077568410101116,0.917589758077659,0.9187680832176869,0.0923092441635815,-0.3779644730092272,0.0924926904864164,-0.1597495545817313,-0.2020440411743407,-0.2020440411743411,-0.20204404117434036,1.568461032690118,1.0096899899023684,0.017409818585138438,0.9553487704066025,1
20,-1.3690326077790074,1.0013323376976306,1.041173961542165,1.1098407091454447,1.086030929054706,-0.6913034353214326,-0.3779644730092272,-0.46204180055344474,0.5814221375683639,-0.43101149697957564,-0.4310114969795761,-0.43101149697957497,1.0738788951739953,0.7132060513053642,0.04809835249352104,0.6414615671010825,1
22,-1.3265490512924596,0.8613252825510553,0.8774777781943256,0.9031709367475745,0.9639482772081461,-0.7777918705133664,-0.3779644730092272,-0.3139873777334168,0.29939769734126653,-0.40100886483957954,-0.4010088648395802,-0.40100886483957915,0.7208094109862107,0.5718539358431047,0.18613436828651878,0.3007001839800264,1
85,0.6276945470887458,-1.3665722191437628,-1.3792586222946668,-1.3836541262037365,-1.3114031946092433,0.12415895363108731,-0.3779644730092272,0.386923068119436,-0.44799878041358365,1.6273269764143803,1.6273269764143805,1.6273269764143812,0.1545607200097869,-0.841195310982494,-1.5522077941851105,1.7041340860992475,1
