,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
88,0.6879564385997989,-0.874668010744352,-0.7566588778644762,-0.780552034523527,-0.8421131152171567,-0.3718909180627591,-0.4605661864718383,-0.3605840256083528,0.016871902021833196,1.1026136605881558,1.102613660588157,1.1026136605881556,-1.0946745685616808,-1.0215975690427195,-0.5722993208215831,-0.3456816226845079,1
7,-1.494270974163004,0.8189468940776741,0.8457526765518071,0.8977526880718333,0.7896706618248338,-0.9359299394586403,-0.4605661864718383,-0.6428098144407325,-1.0625654919813465,-1.216735085631741,-1.21673508563174,-1.216735085631741,0.6077180087770353,1.386299566389099,1.6195902611802997,-0.9677562296316253,1
72,0.28110048028808987,-0.6932341931696796,-0.6850149792385145,-0.5653663089420456,-0.5986818921701665,-0.9859080805949842,-0.4605661864718383,-0.7050375732799516,0.5621610326869235,-0.2473419770075974,-0.24734197700759603,-0.2473419770075973,-1.5753120098253033,-1.41842656081148,-0.741375531153287,-0.587457303846396,1
91,0.78042370185246,-0.5020308623409894,-0.6793402149909148,-0.5380182903062726,-0.61890763177051,0.20285770500519584,-0.4605661864718383,0.33026698895172557,0.2962601978142853,0.7097443831672318,0.7097443831672331,0.7097443831672313,-1.1491516559659622,-0.9171999061167199,-0.3540609017682158,-0.6004926024515091,1
5,-1.5312578794640685,1.0241066724121095,0.9365489045134182,1.0539242681761196,1.0619957985865984,-0.5896528187282575,-0.4605661864718383,-0.45447308939377434,-0.6708111828826658,-1.0860942174773183,-1.0860942174773174,-1.0860942174773187,0.5836500307663388,1.4039000961664567,1.6706775213970417,-1.0288123845329478,1
42,-0.5695983416363927,-1.5585339385258024,-1.6958323608424102,-1.5635689891477773,-1.584686697686906,-0.2683647685660467,-0.4605661864718383,-0.1466635361553242,-1.624772231012924,1.2379878935307858,1.2379878935307866,1.237987893530786,1.6461983415649568,0.27151897944023884,-1.1494793001229686,2.313321836858011,1
17,-1.2353626370555528,1.0722564163069257,0.920943302832518,0.9877132756895091,1.042492406829126,-0.10058100903689215,-0.4605661864718383,0.27648522395136627,-0.04727786385493779,-1.1627747270462203,-1.1627747270462185,-1.1627747270462203,0.6739108932220575,1.2905280383007094,1.4038095129971957,-0.7354558829519598,1
41,-0.5880917942869249,-1.4887517009970828,-1.6823547957543583,-1.5067138977734067,-1.5745738278867334,-0.864532594978149,-0.4605661864718383,-0.4683263068014281,-1.6189539901348284,1.2947882709892322,1.2947882709892335,1.294788270989232,1.630130482415532,0.36142366426950906,-0.9911626100029189,2.1465441441699924,1
52,-0.25520964657734474,-1.2731245870333392,-1.1567297573203328,-1.169901457732828,-1.1411651221650898,-0.28978397191019406,-0.4605661864718383,-0.11915819643141799,-0.5119161734856624,-1.0662140853668696,-1.066214085366868,-1.0662140853668696,0.7388871721172967,-0.6825261757518809,-1.794361009086427,2.3140952910970993,1
16,-1.253856089706085,0.8105730255742274,0.9124311564611165,0.781163766519325,0.9276390998128881,-0.09701114181286759,-0.4605661864718383,0.04598556140724235,-0.29444962054336293,-0.9403065820006391,-0.9403065820006377,-0.9403065820006391,0.67434722560528,1.2968235093778473,1.4133958289585242,-0.743275575482304,1
