,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
116,1.473314476142937,-0.9474948353799082,-0.9517533526271883,-0.8243002922382451,-0.885014884301597,-0.2783211327045204,2.1712405933672376,-1.1101458075482509,-0.23150053742481672,-0.8623870538685351,-0.8623870538685361,-0.8623870538685352,-1.4099112006931038,-1.1047663659417686,-0.37120521258667055,-1.2201317303067885,1
106,1.1753527185986812,-1.3468819670346774,-1.3420487872141371,-1.275353803722919,-1.167636171073159,-0.7993211933283502,2.1712405933672376,-1.1102136190594076,-0.7180421458556382,-0.3075971725135949,-0.30759717251359536,-0.30759717251359575,-1.3006358287690365,-1.1955861520062316,-0.7093518766079399,-0.7437380317221182,1
93,0.7496930649640298,-0.647685357843914,-0.6562210070963291,-0.4928031331952899,-0.49620950876197056,-0.7799102023773029,-0.4605661864718383,-0.5074488186796673,-0.166326827730788,0.05703504632745939,0.05703504632745859,0.05703504632745907,0.10913311608874306,-0.5122189619391341,-1.2142516309799363,1.3507386371859007,1
83,0.45173130741977374,-1.1595683257734113,-1.221051848645344,-1.3938232802333521,-1.4733176387387974,0.030290964672830756,-0.4605661864718383,0.008980778436473573,-1.643746123577424,2.087507200438321,2.08750720043832,2.0875072004383197,0.8436526243489034,0.1978383882166403,-0.7411545461228575,1.585355615941009,1
0,-2.1022266143881345,-0.528730430491214,-0.5962579224958647,-0.42269963562719026,-0.4222024165902887,-0.8791555024149532,-0.4605661864718383,-0.5490302948874927,1.0482126182047131,-2.135169140333875,-2.1351691403338764,-2.1351691403338755,-1.3728636764986006,-1.1267604365233195,-0.46755448858556237,-1.0779669987615748,1
91,0.7071270996005646,-0.7128145262134928,-0.6851317800286952,-0.6737679757548047,-0.4897741094426938,-0.5953169654731799,-0.4605661864718383,-0.4137155513464867,-0.17935036226170548,1.3538318891412044,1.3538318891412036,1.3538318891412027,0.39296984680941205,-0.36239647330575636,-1.2904605279621522,1.7157174181679853,1
63,-0.14419220766873814,1.2749707530332266,1.1838961515804127,1.3809709723458652,1.357721778466291,-1.0291563896864706,-0.4605661864718383,-0.5782042518451551,0.4291270585918373,-0.30073581355690915,-0.3007358135569091,-0.30073581355691,0.8099011976216937,1.444197776764446,1.8967586304567883,-0.8455030433758148,1
96,0.8561079783726926,-0.6977433136982184,-0.7895317933955757,-0.6857236109989768,-0.74665379893715,-0.3208440428424178,-0.4605661864718383,-0.24366474122591386,-0.450485344552154,-0.35758707348373875,-0.35758707348373964,-0.35758707348373897,-0.31903411499439704,-0.7242538656944656,-1.0702357308074535,0.751245039951586,1
44,-0.7613987054389826,1.1910025690195551,1.1951392299429986,1.2847824524268436,1.3443146965511314,-0.3735633879156902,-0.4605661864718383,-0.1461713456496805,1.1557216058484694,0.11731698573263154,0.11731698573263095,0.1173169857326309,0.8371214591812639,0.6045455895679233,0.11351538973645722,0.749335277011485,1
41,-0.8678136188476455,1.4348332572131006,1.3412992486566309,1.5021576386845183,1.393116474722312,-0.7546834670557083,-0.4605661864718383,-0.344603128706501,1.4464683249723085,0.1526039746527336,0.1526039746527327,0.15260397465273415,0.7981423183609365,0.3322801066294258,-0.3994089975107739,1.2034951816540618,1
105,1.1540697359169485,-1.2941327232312179,-1.3254518620122229,-1.2269878247805872,-1.2164379492443396,-0.6599699158782246,2.1712405933672376,-1.1101853043243268,-0.8004882776043147,-0.31249814319694236,-0.312498143196943,-0.31249814319694214,-1.2481004575221453,-1.1590083539185982,-0.7050597731133638,-0.6847342401025919,1
112,1.3456165800525417,-0.8306929383865312,-0.7873902546598452,-0.7313724001130887,-0.8126166419597344,-0.7704690589186223,2.1712405933672376,-1.110216956792742,-0.10218530527334263,-0.560487259774327,-0.5604872597743279,-0.5604872597743273,-1.3984515045207744,-1.1637475268157014,-0.5095122069229421,-1.0669430512422813,1
20,-1.5063030992996225,-0.13903193545340567,-0.1508178654638462,-0.10261467386276506,-0.17712095918117277,-0.41314066129447924,-0.4605661864718383,-0.20348844267867724,1.091254847634517,-0.8540554037068409,-0.8540554037068415,-0.8540554037068414,-1.181963679382877,-1.0417999914952767,-0.5516780792987669,-0.7620604844293468,1
17,-1.6127180127082854,-0.5163505059250949,-0.29162403733815,-0.3178161082578619,-0.17443954279814178,3.1715482162450375,-0.4605661864718383,3.060887012250304,1.230441946662611,-0.7893625906866552,-0.7893625906866557,-0.7893625906866559,-1.3545097905175958,-1.1126075429169748,-0.4631977889868513,-1.059925191150913,1
37,-0.9955115149380409,1.236754464155209,1.1737238425856913,0.954372169315179,1.1083500548443233,0.31435608905761236,-0.4605661864718383,0.402053045551503,1.3818062881185924,-0.19340455559160238,-0.19340455559160313,-0.19340455559160277,0.6181416510477662,-0.07475022014666297,-0.9999196772221266,1.6324908443740067,1
65,-0.10162624230527302,0.902496500870017,1.0141792067737412,1.0380616160243832,1.0198633142042701,-0.5373861092107158,-0.4605661864718383,-0.313077649949486,-0.18397582778261973,-0.4801113405674286,-0.4801113405674295,-0.48011134056742877,0.791116779505067,1.4023853467950147,1.8354721162680319,-0.8133047933616318,1
89,0.6219951688736343,-0.7144292989829866,-0.6685348548267825,-0.5726885141449853,-0.5428661538267245,-0.04652217850699454,-0.4605661864718383,-0.006882330774933115,-0.2638525264403218,1.79933012425749,1.799330124257489,1.7993301242574888,0.617690011276996,-0.21780861655417857,-1.2967925094402613,1.9410618743058985,1
23,-1.4424541512544249,-0.16217701181614877,-0.1915071014427321,0.004986043334784894,-0.07254572024292902,-0.9611046276363008,-0.4605661864718383,-0.5642999129130606,1.2619986471175977,-1.0711684049791332,-1.071168404979134,-1.0711684049791337,-1.0323588028750488,-0.96011388410523,-0.5861951618455321,-0.5498433436738067,1
12,-1.7616988914804133,-1.120813779305563,-1.2044549234434299,-1.0552614276370245,-1.0802219969863192,-0.7710732920999779,-0.4605661864718383,-0.5107675690240081,-0.47233049879752875,-1.5083349899337342,-1.508334989933735,-1.5083349899337346,-1.425046302029584,-1.1347093219734576,-0.41279469193946605,-1.19710172711809,1
90,0.6432781515553668,-0.6853633891321007,-0.7359933250023041,-0.5716016382136979,-0.6045387306364587,-0.7587620410298583,-0.4605661864718383,-0.48120802982008387,-0.3354724169020069,1.699350322317201,1.6993503223172006,1.6993503223172,0.5167886372925646,-0.29010254492996745,-1.3092808779623244,1.856756220336159,1
49,-0.6124178266668546,2.2497552482175767,2.3290839905124896,2.4379578155238075,2.3332210586132986,1.4772028465763836,-0.4605661864718383,2.3723658556471587,2.1069500999674173,0.06340630821580812,0.06340630821580752,0.06340630821580825,1.0759415180178644,1.0919264386448715,0.800758585312746,0.3486397490546878,0
