,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
39,-0.5639143664985552,0.38280559210504583,0.57097044173669,0.5403260963939733,0.6654338366644079,-0.13537484616215886,-0.4605661864718383,-0.04452321100156882,0.22139348868190095,-0.08905775179158436,-0.08905775179158373,-0.08905775179158387,0.39589906342881565,0.7847778041915427,0.9622500176966841,-0.6957501431734162,1
86,0.8013519944979468,-1.436874027989238,-1.5508424751109189,-1.4255343560388176,-1.490391669234025,-0.15836416327694436,-0.4605661864718383,0.023071209116823563,-1.3182625380176414,1.9996129397990847,1.9996129397990847,1.9996129397990854,0.7276640595074837,-0.6339723346388539,-1.7314854125192134,2.682531071555393,1
96,1.078362560497237,-1.141395504469104,-1.0888231437290836,-0.9901041178456433,-1.0961025306552328,-0.42444997555821157,-0.4605661864718383,-0.1804345123635521,-0.2804752575361177,-1.2338685098646065,-1.2338685098646063,-1.233868509864606,-0.2974605014690784,-1.4611180005039164,-2.191998070515588,2.307468197834758,1
19,-1.1377219674970849,0.3535502927466165,0.3348915984287297,0.5231944148912924,0.5051652299759046,-0.1717228205193197,-0.4605661864718383,-0.09557184842142469,0.11156482441315085,-0.6371054551244103,-0.6371054551244099,-0.6371054551244099,0.2712727340573687,0.5692783337912164,0.7125115203921933,-0.54117807521728,1
109,1.4345190024963246,-1.2920602961650134,-1.2539335003984537,-1.1557103723715716,-1.1570896995720972,-0.43959496487369526,2.1712405933672376,-0.936425771174168,-0.21859706786491187,-0.120722730206371,-0.12072273020637063,-0.12072273020637062,-2.2521221741189033,-2.02717776953781,-1.365701855182569,-0.6272857475473701,1
107,1.394946064496426,-1.401767668759122,-1.3799387725935,-1.2599281015128894,-1.3216132250222403,-0.46087561652724673,2.1712405933672376,-0.936433291658152,-0.6825154838986602,-0.2218070843766482,-0.2218070843766481,-0.2218070843766479,-2.258342665478592,-2.0561193755877953,-1.4088214526775453,-0.5817439001507763,1
82,0.682633180498251,-1.7894003852583067,-1.7854729819568644,-1.7381875434627687,-1.8293668639114762,0.23408522652376884,-0.4605661864718383,0.4492123490063424,-2.07389263467589,2.276072559035868,2.276072559035868,2.2760725590358675,0.9597169312915328,-0.20093525256707767,-1.2129056838006538,2.268463730534112,1
7,-1.4938784094961723,0.1443749023338483,0.014809240324072584,0.20054774659077543,0.16902664780621413,-0.47330227442713074,-0.4605661864718383,-0.3290923693431265,-0.5761062808996937,-0.7430613444354249,-0.7430613444354244,-0.7430613444354242,0.26225306495775147,0.10234016857638302,-0.06637273133877891,0.3112276419160868,1
23,-1.0585760914972877,0.9196403353322157,0.7925659204245247,0.9814668950880424,0.856905180938281,-0.2202644529407418,-0.4605661864718383,-0.18389546982186647,0.9800572179952269,-0.43128309542831034,-0.4312830954283102,-0.43128309542831,0.19472207308708336,0.5727431739521287,0.7880813110629642,-0.6939791066264193,1
79,0.5837008354985045,-1.6679908929208267,-1.5856025501992066,-1.669660817452039,-1.4506790941253698,1.349843772709608,-0.4605661864718383,1.5273943813922641,-1.9665955286829142,1.983780450591694,1.9837804505916938,1.983780450591694,0.87382099762698,0.16980264465063177,-0.5097249382261333,1.3720705327793112,1
4,-1.5532378164960203,0.3418481730032451,0.34792662658683626,0.39756208387162095,0.3037657419248666,-0.26437908848533015,-0.4605661864718383,-0.12998835707272255,-0.20315342217479349,-0.1937957573174124,-0.19379575731741225,-0.1937957573174116,0.2570784722743898,0.06837114739095858,-0.11891955301088447,0.365637308856447,1
81,0.6628467114983017,-1.401767668759122,-1.4914606801684247,-1.6782266582033805,-1.6549151946841703,1.0047710161522028,-0.4605661864718383,0.7750067431835888,-1.9379348548504254,2.272418907680313,2.2724189076803154,2.2724189076803154,0.9697659554718334,-0.05242269194440576,-0.971717178569058,1.9933951633460811,1
46,-0.3858361454990114,0.8026191378985023,0.681044012849602,0.7844525578071969,0.756205436912761,-0.5571045486394738,-0.4605661864718383,-0.3727692514590882,0.15701049263711278,0.08144597813418872,0.08144597813418934,0.0814459781341887,0.45409487682248173,0.8502021389946679,1.0195233784539364,-0.703633092281863,1
59,0.009893234499974653,0.46618319527656743,0.3653066641309811,0.3161865967338811,0.23143212297695995,-0.5390082280727677,-0.4605661864718383,-0.32414574205080954,-0.6992172789962863,1.2993297633182437,1.2993297633182452,1.299329763318244,0.5767002546756355,0.7914357323438866,0.8087830223542161,-0.364744988030559,1
83,0.7024196494982002,-1.880091813269435,-1.8636831509055143,-1.7667403459672397,-1.6336406008759612,0.38382645421737166,-0.4605661864718383,0.5460512451998019,-1.6950468621891457,2.0726859669101274,2.0726859669101274,2.0726859669101283,0.8835874728817299,-0.3398685492154608,-1.377754769016181,2.3964308054619794,1
41,-0.5243414284986565,0.7016883551119226,0.7983592662725757,0.8287094016891264,0.9249838811245459,-0.4381969658599583,-0.4605661864718383,-0.19856007241060905,0.8321313116683833,-0.14142675455449988,-0.14142675455449927,-0.14142675455449893,0.40746668414450343,0.8259482578682756,1.0211126784823883,-0.7481897312175412,1
11,-1.3751595954964766,0.3345343481636362,0.3146148879605613,0.3218971572347741,0.4229034672508331,-0.20240113220965844,-0.4605661864718383,0.13819574515007646,0.41227716105046686,-1.095029758353618,-1.0950297583536175,-1.0950297583536173,0.29267099724212053,0.19595879096341304,0.06372928112034516,0.1933836120214165,1
12,-1.3553731264965274,0.7543478939570927,1.0691981846688237,0.808722439935995,0.9476767811866341,1.3356307827366156,-0.4605661864718383,1.0812856319618969,1.8907282290392688,-0.5835185685763103,-0.5835185685763102,-0.58351856857631,0.35014044337172795,0.2539778791481134,0.10918153571833877,0.19558158365777972,1
