,open,high,low,close,tick_volume,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
158,-0.640188501596408,-0.529500076778343,-0.5536834035434065,-0.4510602195064912,1.9164633724979918,1.0765570553518646,0.6316337689923183,-0.753075033970992,0.9873348321786911,-0.7530750339709914,-0.7530750339709916,-0.5327940777750015,-0.6959404273139369,-0.8401004550420474,0.8392765829027695,0
150,-0.3283009556572135,-0.3586154846589715,-1.4071644714818878,-1.269809770626869,1.3585747610890408,1.049358982469114,-2.730155424787405,0.21025439549742728,-2.260058159807723,0.21025439549742797,0.21025439549742733,-0.31535660224272527,-0.2362920147031486,-0.12838364062058613,-0.42019158407219026,0
102,-0.717941979435591,-0.75416560651904,-0.7161257878732616,-0.7715546962017409,0.2538027384065317,0.14743032217125188,-1.3551782759511881,1.2388607678251036,-1.5079916855955249,1.238860767825104,1.2388607678251036,-0.12337243210603878,-0.125615911324226,-0.11990084530124476,-0.007610284157080524,1
163,1.4495454196544415,1.448250532521998,1.4755293001662957,1.4263719062711449,-0.0714759610497968,-0.5487475396288565,0.11212950980196996,0.02134687904109362,0.1994848038171359,0.02134687904109413,0.021346879041094006,1.2844446381113008,1.4226458639138189,1.489502265024105,-0.4789905995041811,0
112,-0.05397969676391635,-0.10966178954090239,-0.06284398278454698,-0.033366598239732106,-0.0340832924079505,-0.42694930314290763,0.7787564915851335,0.21717770761886462,1.160602831124781,0.21717770761886554,0.2171777076188648,-0.1426359295004932,-0.5102354317670947,-0.9052236102616396,1.896604197556176,1
246,0.3601230953234177,0.34660874576259726,0.31472480241457523,0.27661986282616474,-0.8309598294843539,0.32374580854137086,-0.7322580287293595,1.3882065007303703,-1.0241292446529346,1.388206500730371,1.3882065007303706,0.6737599028074103,0.5481009488705573,0.36515404895331727,0.5620300215581896,0
39,1.3499510772536902,1.3901324225118563,1.4070400786650594,1.4123612187653407,0.32145970742070845,-1.4115503678507566,1.9696627763294738,-0.9192345248854632,0.6601173021131622,-0.9192345248854628,-0.9192345248854629,1.565568015916745,0.7089300550355215,-0.33742730477853705,3.6585145244654016,1
170,-0.059221504258692305,-0.1339499549182751,-0.17435848445963692,-0.2531592584870204,0.7576658218780994,0.2614785324524864,-1.1194732054179832,-1.0300075188284414,-0.5212163686767725,-1.0300075188284403,-1.0300075188284412,-0.37057532399379395,-0.03071099835986869,0.36780362076961054,-1.6497203585688909,0
85,-0.033012466784810665,0.2945626770967993,0.03901178252498343,0.3142735854980116,2.265628358611821,1.4975525778609193,-0.12265790979353874,-0.4781206382910951,-0.6666561403545814,-0.4781206382910942,-0.47812063829109475,0.302329832370239,0.47949164105925113,0.6543590740277992,-0.7694224582210091,1
243,0.6440543346238048,0.6484759440242286,0.703708457863903,0.7302158708265456,-1.1347283650396873,-0.9130937423750694,0.5850146572902736,0.6365326132601457,2.2515947018641267,0.6365326132601463,0.6365326132601458,0.6169861597819806,0.3129219450369295,-0.06254852067269305,1.381933709921139,0
282,-0.31082826400795865,-0.2744743403159307,-0.29377558861563835,-0.2268892194136396,-0.8098248428607017,0.2613261962190029,-1.2131373022623484,1.8392108332125114,-1.3536473162360005,1.8392108332125117,1.8392108332125117,0.49510517040630064,0.5046761643044275,0.48236567681177517,-0.029488556831952038,0
17,-0.06970511924824546,-0.13915456178485452,-0.08918599105425357,-0.11217671545987527,-0.9044945758435701,-0.17464544403871265,0.8269089150612445,0.07673337601258638,0.8760112629653197,0.07673337601258699,0.07673337601258662,-0.1924678352722771,-0.4034172516794066,-0.6227465984467402,1.0543484410628448,1
111,3.0937257038492993,3.0365230613066148,2.990194775674403,2.9298938092376554,0.9346244376915191,-1.411509562327883,1.2887698913599894,1.1716057357882927,1.6936362592675043,1.1716057357882945,1.1716057357882927,2.475096834423719,2.1381208858129197,1.603188740694499,1.234419903114231,1
131,-0.1684258270665335,-0.22676544403894905,-0.16294361420943065,-0.20149484830937064,0.537061582800451,0.2928706321817721,-1.6370539405630538,-0.8856070088670588,-0.15510957998993735,-0.885607008867058,-0.885607008867059,1.6666184615723372,0.6268951741707213,-0.6276036373599155,4.491029797462158,1
42,0.6292025467219383,0.5513232825147378,0.6712199809979329,0.6032440153052034,-0.38474898763115123,-0.6641361812867268,-0.5683626141229842,-0.6205430590749282,-0.359245846204785,-0.6205430590749278,-0.620543059074928,0.567832433841097,0.8551607794664572,1.1336272496144832,-1.1649789634968364,1
108,1.5334143395708641,1.6087259109082095,1.6283129481305914,1.6890722970049559,0.14925333712029926,-0.24660742352209533,1.4514798107849234,-0.0696452231263579,1.2016479515259593,-0.06964522312635707,-0.0696452231263576,1.1864867091174285,1.2226511204962465,1.183739728266571,-0.10099777184698419,1
292,-0.03650700511466151,-0.057615720875103804,0.007401372601336016,-0.07364732481891653,-0.08823387943778142,-0.4429146503240643,-1.0872368251303874,-0.8826398751007273,-0.36492742320619553,-0.8826398751007263,-0.8826398751007267,-0.11511323460527036,0.04342285560448448,0.2254869427531178,-0.7627237217165014,0
5,-0.814915418088954,-0.8053442407070748,-0.7468581308545856,-0.7365279774372323,0.5089232869997306,0.04228772634287266,-0.5660133322208256,0.6929081548204147,-1.0544656193028004,0.6929081548204153,0.6929081548204148,-0.3732460573961387,-0.5476418559989004,-0.7147620424754767,0.8824814249514172,1
89,-1.0813739657400863,-1.0915976183689666,-1.0085220796670005,-1.0114877197386212,-0.9942870042209803,-0.4783490780564998,1.8077456828400507,-1.504748921441218,0.7562996835938757,-1.5047489214412166,-1.5047489214412175,-1.3484009944017241,-1.3995947722486968,-1.3664793906833252,0.21733692972659852,1
38,-0.2985973798534804,-0.33606218823712564,-0.2806045844807854,-0.28818597725152845,3.1661788833273232,2.920305435247042,-2.538938891526372,1.6196429345041001,-3.1710397193933604,1.6196429345041001,1.6196429345041001,1.6742745250164375,1.4193743449628544,1.0278651350451418,1.0197256187999686,1
174,-0.8297672059908199,-0.9042317711720919,-0.9119347160114109,-0.9659529853447609,0.6013419563185413,0.08188686097732334,-1.0128518302622116,-0.0043682802670947495,-0.511291661052624,-0.004368280267094134,-0.004368280267094519,-0.7695777123220054,-0.6660338059602906,-0.5010631584230814,-0.6149597026331863,0
67,0.19151162090811089,0.19741001558730845,0.27345565612536893,0.26085783938213614,0.42063156773169214,0.26133830663086977,0.712421506002659,-0.5038357975992847,0.4564336926310124,-0.503835797599284,-0.5038357975992841,-0.18987638515209254,0.07860711602053852,0.3865993854628191,-1.2752726473827338,1
256,-0.6366939632665566,-0.7125287515864008,-0.6792469762956728,-0.7058795985182882,0.49066465950237415,0.1331578830910674,-1.0521293253741204,0.645434014559138,-1.0913906456385738,0.6454340145591387,0.6454340145591378,-0.07986745523512502,-0.18607728514444644,-0.2976363794337016,0.5041697696294961,0
