,open,high,low,close,tick_volume,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
19,-0.8952770792779969,-0.8246234593582032,-0.6916237516966429,-0.7707178549672189,-0.421575014135408,-0.254668712627028,-0.1051901572130981,-0.6318518205989946,-0.6318518205989937,-0.6318518205989943,-1.120042598225853,-1.0160623325781115,-0.8207293937517733,-0.4435069495239879,1
26,0.1503337657494754,-0.0264554087734164,-0.343843717695704,-0.4228560058571337,-0.0788565627395762,0.3435387411279364,-0.1419167319716622,-0.6750633927938507,-0.6750633927938496,-0.6750633927938507,-0.7206209719591047,-0.561302287179843,-0.347694214974787,-0.6218552199393972,0
32,0.9669723774362108,0.8069006956543577,0.8422419206507767,0.7603947726619521,-0.8913587921584152,-1.1326979203657843,-0.6564397716673173,1.164246571499558,1.164246571499559,1.164246571499558,1.174558774085284,1.611797649764694,1.926722624213785,-1.4231771032386176,0
17,-0.9666676615363275,-0.9894065407692576,-0.8975233738166009,-0.906913142524034,-0.1728133183441776,0.0309862297112254,-0.8190892524205068,0.1731985570309442,0.1731985570309451,0.1731985570309442,-0.2142433245245927,-0.3387827135584269,-0.438837892984925,0.441950344064028,1
30,1.623417487470111,1.5793213897686689,1.523094872786942,1.451781041342093,0.8302869010154242,1.0088825273027309,1.3331741500450591,2.870164291191489,2.87016429119149,2.870164291191488,0.696284609045091,0.016851553466107,-0.6895315323136259,2.4643266574929967,0
36,-0.0916977204433952,-0.0573522365379876,0.0679555265442118,0.1210576584621224,-0.2220287617561117,-0.0540818154275764,1.199534915585509,-0.6731846287853761,-0.6731846287853754,-0.6731846287853762,-0.7137217765450256,-0.5552438400900124,-0.3430295071425682,-0.6182916797084685,0
33,-0.7272480259138837,-0.5946137415552745,-0.7210379834280658,-0.7559705945311291,-0.2614011164856589,-0.0892776294073674,-0.0255019759862226,-0.3688248594130149,-0.3688248594130143,-0.368824859413015,-0.9986598721987948,-0.9819707320048268,-0.8801392107439328,-0.1089217118900204,0
28,-0.5487715702680609,-0.5997632128493701,-0.439007408591485,-0.5651236947699871,-0.0743824315203094,0.1545881461205807,-0.4241188421247417,-0.9737868701407844,-0.973786870140783,-0.9737868701407846,-0.7572268449634968,-0.5774581460860609,-0.341242056097127,-0.6993744333771479,0
4,-0.2632092412347458,0.1941136116570053,-0.1154508595458354,0.4203402967239165,-0.1101754812744433,0.0402334760241474,1.7136824383144018,-0.0954646961804442,-0.0954646961804434,-0.0954646961804439,-0.8558006395799924,-0.8024079442463318,-0.6779499221971,-0.23912607486045,1
14,-0.6036204322470203,-0.5722993659475285,-0.3974814343824163,-0.3629994782047754,0.5000960170335392,0.5367819122877105,0.3992506655061825,0.4033471480686763,0.4033471480686776,0.4033471480686764,-0.6294939271480033,-0.536281242983986,-0.3934136866795509,-0.3736736355498736,1
10,-0.9823387649588856,-0.8889918505343959,-1.0056639316527134,-0.906913142524034,0.2226998814390017,0.3886990699294083,-0.8906652438701503,0.3281965877298259,0.3281965877298269,0.3281965877298259,-0.1790959730937711,-0.270359912809435,-0.3417797866662745,0.3207980858698874,1
35,1.7661986519867696,2.0616552009822726,1.957387353056771,2.0876482119099027,1.356444732401192,1.9750818307513995,2.3576515431088247,2.9490723795472844,2.9490723795472844,2.949072379547286,0.4972355533930362,-0.0630035711699134,-0.6388463323855315,2.035733769156176,0
23,-1.067659216926158,-1.1404576987293888,-1.1285116053545388,-1.2842695125062935,0.5054649744966593,0.5845961345715902,-1.5319653610321693,-0.7154568189759789,-0.7154568189759781,-0.7154568189759789,-0.7682072639907055,-0.6303069726775776,-0.4329820640791137,-0.5465337600641172,0
24,-0.3755188157630916,-0.5465520094770504,-0.5185988591588628,-0.5720635820340273,0.0419449801806256,0.317788801663493,0.6067823681120952,-0.5435499122008514,-0.5435499122008512,-0.543549912200852,-0.6522781208613136,-0.875588508529149,-1.0319199654036004,0.8053448000569408,0
34,1.5058842118009117,1.4437186456908246,1.6762219026828782,1.5506744348546866,-0.3133010386291531,-0.1642652932730735,0.7709696034920933,-0.9916351282212508,-0.9916351282212492,-0.9916351282212506,1.76399708407504,1.2794730012044249,0.6666429705781041,1.706855544753246,0
20,1.4318817789721567,1.2531882078092946,1.1926173280397825,1.106521649956026,-0.5387972520801965,-1.1326718283444157,-0.1167261584432879,1.0092485408006728,1.0092485408006733,1.0092485408006733,1.1623897635315927,1.6358260670362277,1.986238914994377,-1.5431278309822187,0
18,-0.6976470527823813,-0.6950284317901363,-0.675186386905554,-0.624112736514341,-0.8797260509883217,-0.6378666547064202,0.2616351820520952,-0.4336422177052741,-0.4336422177052735,-0.4336422177052742,-1.1301540100231435,-1.0220523226386764,-0.8219277368431609,-0.4596125876584315,1
25,1.5276496332211338,1.4205460248673945,1.5732720916228993,1.5428670616826397,-1.1105912219024852,-1.1327129256229875,0.7367795905069118,-1.1334818108608329,-1.1334818108608316,-1.1334818108608324,1.818181008101372,1.394720409969736,0.8353265377848381,1.4941066209066622,0
6,-1.4960027104761295,-1.651113602060516,-1.535985227281009,-1.6772406288326476,0.8222334648207441,1.439646406412971,-1.776366623955184,-0.4186121056375147,-0.4186121056375133,-0.4186121056375145,-0.7099812885304806,-0.7078003298040034,-0.6446187267137473,-0.0416801507486209,1
13,-0.9675382783931356,-1.0220198589651948,-0.9035792450554224,-0.9008407411679984,-0.0582755591309492,0.0622646541431794,-0.7800978740378509,0.2915606895646344,0.2915606895646353,0.2915606895646343,-0.3162682299304009,-0.4228137169795271,-0.4969673086722705,0.373576884437533,1
7,-0.6715285470781136,-0.7799947081427089,-0.7080611164877318,-0.7221386441189277,-0.6676522311950784,-0.4759239777788697,0.0463576809856631,-0.5219441261034268,-0.5219441261034267,-0.5219441261034274,-0.874333486376306,-0.9476737603437498,-0.9422023913058444,0.2349754845221892,1
