,open,high,low,close,tick_volume,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
19,-0.2116281943951784,-0.1666918280325665,-0.0631221046932836,-0.1592207440567803,0.8209528022319372,1.120911143659911,0.3085976815306921,-1.284500758011016,-1.2845007580110164,-1.284500758011015,-0.0974196426338667,-0.4097289339398849,-0.6289950574498291,1.043840887012832,1
26,-1.192222192065482,-1.30046620493425,-1.2815648762525826,-1.436448017033993,-0.4518690702701621,-0.1508956063206373,-1.7383319136775413,-0.0789822472563442,-0.078982247256345,-0.0789822472563445,-0.0575479982244776,-0.2758082516177982,-0.429734562952895,0.7127478312055641,0
32,1.3726648290517418,1.4361142107421352,1.3787018416518908,1.27376595245424,0.637225738378813,-1.416382934720377,-0.2818007859911728,-0.0124708811457424,-0.0124708811457428,-0.0124708811457441,1.4502891206072954,1.6503135936330948,1.6998234284420168,-1.180228015669082,0
17,0.9557456123551838,0.8118634377456719,0.8574791004848544,0.9657084259096002,0.41225382345662,0.4817898005995709,0.595712010020558,-1.2969716391567545,-1.2969716391567547,-1.2969716391567545,1.1904772447842331,0.7489703293622301,0.351984620866979,0.8740627141699582,1
30,-0.8420100500403743,-0.9022954416175872,-0.838187089935172,-0.9241725796339192,-0.2886202191855965,-0.0260363573071423,-1.538286072928036,-0.3283998701711056,-0.3283998701711058,-0.328399870171106,-0.3672310211609431,-0.0537574076883056,0.1967900136898868,-0.8862101929191912,0
36,-0.3417069900045048,-0.2544243691023413,-0.2357348306641839,-0.3772839370041103,-0.0985477936295386,0.3670871165021089,-0.5915819283935524,-0.9394730463122668,-0.9394730463122676,-0.9394730463122668,-0.3343046719205735,-0.0704809022101924,0.1420366846783364,-0.7398775761038128,0
33,0.1852788998999463,0.1437463942143212,0.2144120821618905,0.2076792313784091,-0.103162602140763,0.2332854134778482,1.6278552088316935,-0.5861314138496849,-0.5861314138496848,-0.5861314138496855,-0.1770081400566758,-0.6369560976023416,-0.9576794424757756,1.580972607369689,0
28,-1.3589898787441053,-1.297091876431567,-1.274795749743921,-1.2010782214717963,1.030061312896796,0.7366747946456222,-1.4039922761988697,-0.1745923360403374,-0.1745923360403382,-0.1745923360403376,-0.0719592172812712,-0.2244432327291459,-0.3299011003213722,0.5024709280284273,0
4,-0.7886443903032136,-0.5783599053599632,-0.997261562888747,-0.7753357971460598,2.97693365356962,2.085023772978883,0.5158044134056008,2.04522450790104,2.045224507901039,2.04522450790104,-1.5942073536541248,-1.4103513561660737,-1.173073337623516,0.0473781660558488,1
14,1.3960123051867492,1.3686276406884623,1.4023937844322107,1.311840478206948,-1.4033849001782577,-1.4165497638938405,0.8356990348972105,-0.8771186405835685,-0.8771186405835691,-0.8771186405835687,1.1965279540080296,1.0961819299118696,0.9452938028313242,-0.1884042368140652,1
10,-1.372331293678395,-1.3645784464852395,-1.2511038069636014,-1.356837645005604,0.2172781638573861,0.3683033153023122,-2.149668773442061,-0.0249417622914841,-0.0249417622914845,-0.0249417622914851,-0.179490617381111,-0.116005970630883,-0.0583786037958431,-0.1560535651161272,1
35,-0.7186019618981916,-0.6593437894243698,-0.6486515476926132,-0.6264990146582003,-0.5029203894255829,0.0486998419259547,-1.0276393024723476,-0.6069162157592534,-0.6069162157592538,-0.6069162157592539,-0.3917198842666528,-0.0455283865743628,0.2302625148679107,-0.981480227753363,0
23,0.9557456123551838,1.010948819404002,0.3091798532831699,0.2388311160851692,1.1771583341920762,0.7497168303631678,0.3368307819508003,2.465077506474221,2.465077506474219,2.4650775064742216,-0.0294661146606377,-0.5935546475336363,-0.9991868841242608,1.860378923722685,0
24,-1.4423737220834167,-1.4219420310308588,-1.403409153408515,-1.3153017987299231,0.4099464192010078,0.6772929747716591,0.4084030494417816,0.083139207638263,0.0831392076382622,0.0831392076382627,-2.3343790295177427,-1.8913509128907997,-1.4183271568368256,-0.5326472292429244,0
34,1.2092324961066927,1.3787506261965137,1.3787018416518908,1.304917837161,-0.4810000489972666,-1.4164805520558184,-0.2319030314061763,-0.1413366529850336,-0.1413366529850344,-0.1413366529850338,1.4124838104546344,1.7003513510517518,1.8158058390708467,-1.4253317638123408,0
20,-0.1382504122565846,0.0593881816472317,-0.0360455986586306,0.1972952698094883,2.2636573130534874,1.9982049257513197,0.7892259612574668,-1.1431641050259862,-1.1431641050259866,-1.1431641050259862,-0.3201747063529781,-0.1955089326833414,-0.0844608092466299,-0.2969425044176606,0
18,0.0151758594877489,-0.1127025719896303,0.0485684826996541,-0.0415358462756833,0.3551455681302172,0.9220756891700128,1.3040277368256117,0.7233111064528074,0.7233111064528064,0.7233111064528067,-0.5946628210630504,-0.888604872312628,-1.0620251348658754,1.222568144073922,1
25,1.2959516931795765,1.3483816696723605,1.419316600703867,1.5333649916772507,-1.1625495809987307,-1.4165439738479988,0.2521570093754174,-0.2577315436785895,-0.2577315436785897,-0.2577315436785899,1.3958424506198588,1.748398216265427,1.9116811423559377,-1.6086424577652894,0
6,0.3153576955092726,0.2854681913270323,0.1670281966012508,0.3807452575270831,-0.4149506021803664,-0.0362461635440425,0.307875058456343,2.943127950394182,2.9431279503941807,2.943127950394181,0.3864810505908543,-0.3290314365644317,-0.871319209347629,2.1574242930025607,1
13,-0.465115078146685,-0.2409270550916049,-0.3203489120224687,-0.1799886671946219,0.1145986744826416,0.5167025357714171,1.2892693183505917,1.4008956487045756,1.4008956487045758,1.4008956487045752,-1.0738991588827025,-1.10720483642014,-1.0609157339996036,0.558267986619753,1
7,1.269268863310997,1.2606491286025878,1.3448562091085765,1.322224439775869,-1.1080371554598916,-1.4165290420585748,0.5503693457365015,-0.4156960381912637,-0.4156960381912647,-0.4156960381912644,1.2138062297949772,1.3240727243093129,1.324223441130164,-0.8325800142386736,1
38,-0.1082322286544313,-0.220681084075505,-0.1477361860515684,-0.2803669623608525,-0.0852802191597682,0.3136464016684523,-0.3923791180230932,-1.1473210654078978,-1.1473210654078985,-1.1473210654078971,-0.3264522109663328,-0.0840189692041026,0.112529205236821,-0.6743242053421369,0
1,-1.429032307149127,-1.4894286010845317,-1.4271010961888349,-1.4156800938961538,-0.9072929852216272,-0.213601354932667,-1.6839285785491411,-0.1288657718392951,-0.1288657718392959,-0.1288657718392953,-0.0568562680599934,-0.3261114613304509,-0.5169277148589301,0.8813587351809938,1
16,1.0624769318295029,0.9299649353395978,1.114705907814042,1.0764706826447517,-1.2874378363337429,-0.6719423149619216,0.9823286078874252,0.5404048496486471,0.5404048496486468,0.5404048496486455,0.962236463762276,0.4387893238253399,-0.0024470102217507,1.2386336764613337,1
0,0.0318526281556127,-0.0519646589413259,-0.0428147251672945,-0.0969169746432577,1.0130442065116558,1.129164592341806,1.3823630589121874,1.255402035337631,1.2554020353376296,1.2554020353376296,-0.9302342705019092,-1.0557070913844868,-1.08542189467463,0.807162660578053,1
15,-0.6952544857631843,-0.6930870744512061,-0.5809602826059869,-0.7095707072095645,-0.7772130703114873,-0.2589483450470304,0.0504833394264209,0.037412643437211,0.0374126434372112,0.0374126434372107,-0.888800746699345,-0.9094428773914848,-0.8661302808446278,0.4296538564276886,1
5,-1.1021676412590244,-0.824685886055866,-1.1055675870273516,-0.7303386303474038,0.4183107596276021,0.5313616461168724,0.802182426619261,1.5380753413076969,1.5380753413076964,1.5380753413076955,-2.0103533697147733,-1.6059896968427407,-1.1821290675606315,-0.5354841907593452,1
11,-1.2189050219340611,-1.3510811324745056,-1.2511038069636014,-1.2460753882704527,-1.0166062618312568,-0.4711755576562496,-0.685981536527416,-0.4780504439199589,-0.4780504439199595,-0.4780504439199602,-0.5497488317651914,-0.8194545497260948,-0.978306081976784,1.1175618682450212,1
9,-1.368995939944823,-1.5299205431167335,-1.3966400268998511,-1.4641385812177827,-0.5280134107053659,-0.1927453724172485,-1.1443719704231765,-0.3242429097891881,-0.3242429097891887,-0.3242429097891886,-0.3221922577307487,-0.6823484398760288,-0.9214594381982452,1.313992727877833,1
8,-0.0982261674537135,-0.1464458570164666,-0.1341979330342431,-0.1038396156892058,-0.279102176631196,0.4357318822595094,1.3610690947498725,1.2637159561014584,1.2637159561014577,1.263715956101457,-0.8023628320988511,-1.004076620201839,-1.097253766980396,1.0076804816562537,1
12,-0.6685716558946051,-0.6357234899055847,-0.5268072705366834,-0.5330433605379153,-0.6229054107174191,-0.1763272105882372,0.191733324146192,-0.1371796926031218,-0.1371796926031226,-0.1371796926031221,-1.199959465477459,-0.9748768678620388,-0.7336398501395076,-0.264978913125462,1
37,1.2592628021102792,1.1999112155542837,1.3042414500565982,1.3395310423907352,-0.4357172404808765,-1.4164544512812238,-0.1493821290043457,-0.1829062568041609,-0.1829062568041617,-0.1829062568041612,1.4268014051124234,1.6788497152378974,1.7674862901237374,-1.3251597264216088,0
