,open,high,low,close,tick_volume,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
158,1.824222646576589,1.778666130206707,1.6860578710965233,1.715636578262662,-0.11513066328004944,0.26473651021211586,-1.2120381789723456,1.6711330999275822,-0.7315933907306164,1.6711330999275826,1.6711330999275826,2.1120048335379042,2.27050762187612,1.9427889419892495,-0.20472430078915713,0
150,0.9414886778285121,0.908865104912371,0.9763216860768935,0.952108667917801,-0.619795126624898,-0.686157417972543,1.626295538848475,-0.29494720787648604,1.0198500651823679,-0.29494720787648543,-0.29494720787648593,0.5275431286336696,0.649590622694493,0.6313824444739669,-0.20191108143048317,0
102,1.5380587390958689,1.6094191326740654,1.5968148818868304,1.6941533943316394,-0.6608322552111854,-0.8205683739053476,0.6001602253132045,0.22225443809722709,0.35490871048562955,0.2222544380972278,0.22225443809722648,1.4161477249827987,1.626371840220692,1.486866730346928,-0.2546015834264879,1
163,1.3028706222663269,1.269306460276543,1.1705621834247448,1.1477417342579923,-0.24193077969835308,0.06921690034267285,-0.49164984369146136,1.8074523288632323,0.6644046813203456,1.8074523288632325,1.8074523288632314,1.7476533266015848,1.4405946242576522,0.8311388865956062,0.15306850970122826,0
112,0.10489163238596574,0.14832479954417113,0.15297682729360929,0.1708887237473925,-0.04919460274253154,0.6950149596133816,0.49718463639271476,0.6945843378796249,0.31577168783757886,0.6945843378796255,0.694584337879625,-0.09062862515993352,0.0641708339814652,0.20297832324938087,-0.2526464396504309,1
246,-0.1719778170248968,-0.18683662454297292,-0.1983685156421383,-0.1866944983805046,-0.23363113571460958,-0.08962921999520984,-0.5327423722181848,0.5884500810654413,-0.16267957315882892,0.5884500810654412,0.5884500810654408,-0.06544919807875149,-0.0704201085780719,-0.060309970734009836,-0.06752604903474413,0
39,-0.9424117356918068,-0.9422352489734721,-0.9306111562738614,-0.9107069595490734,-0.2857344562792216,-0.113751644931606,-0.7888463094833461,-0.4908249570733107,-0.6708856804059737,-0.4908249570733099,-0.4908249570733104,-0.8863002714049877,-0.780743139489332,-0.5103883286547087,-0.2205629256571825,1
170,-0.5601891249633317,-0.5809369467863505,-0.5721713871125623,-0.6075121600881758,-0.3689614417828718,-0.27865789027996846,-0.4432718621945527,-0.10337000578299076,-0.02248826727226221,-0.10337000578299055,-0.10337000578299106,-0.6837518077287619,-0.599410848168461,-0.3885968584956123,-0.1834095465537818,0
85,1.1378700367375143,1.1407168286771996,1.1810815050695276,1.1485194060744996,-0.5197383074875457,-0.5499083198564649,1.0586329330366955,0.24854457510624856,0.776890163202413,0.2485445751062493,0.24854457510624844,0.8276138115080585,0.9253272670924628,0.8243893443728718,-0.17508299980771433,1
243,0.09262678049996775,0.06515334956118278,-0.02247567232588553,-0.06323909750992437,0.15829649685105626,0.829336561412277,-0.6348103578857761,-0.048193175023322966,-0.3335883545605001,-0.048193175023322765,-0.048193175023323265,-0.014213182546931255,0.12253948658432325,0.23113185477490034,-0.23018522419636325,0
282,-0.7297411203717139,-0.7031470853703987,-0.715772359333203,-0.7079290333947188,-0.044122598085799394,0.3685085718712944,-0.72035671007631,-0.10596656252462244,-0.525059464911392,-0.10596656252462176,-0.10596656252462294,-0.6717651669297379,-0.6131273525671355,-0.4247087701354923,-0.14642622082753953,0
17,0.12970879362403898,0.15332365601138026,0.18712792733109052,0.19344120642611262,-0.24746387568751543,-0.1215382194579728,0.3724095210571242,-0.49098724186966164,-0.15237946917331885,-0.49098724186966086,-0.490987241869662,-0.1181849705687869,0.11921911927909044,0.3276639209938705,-0.34331545681105574,1
111,0.1957761012443155,0.16313093631847542,0.2091940392464257,0.1982530507907534,-0.3230828542060674,-0.017217268119066802,0.5501124675946271,-0.3481766210799334,0.07981094631562413,-0.3481766210799326,-0.34817662107993336,-0.1087285732006046,0.10831228871612317,0.29902292570575745,-0.32109312251343614,1
131,0.08841073766415607,0.09338498656170477,0.11163344687574207,0.137691858080225,0.04832621406645473,0.634914730902289,0.31206954441943296,-0.15595027980102807,-0.38789843198082435,-0.15595027980102713,-0.15595027980102846,0.06829249599495373,-0.019245871720989724,-0.10137262670994523,0.028308694790072038,1
42,0.8465798044450686,0.8354057189228169,0.892656383692807,0.8971855958769526,-0.624636585615415,-1.2932786771309317,-0.13599450216292483,0.5184241914395669,0.15044558343935338,0.5184241914395673,0.5184241914395671,0.9867393231324434,1.0054236054896855,0.8095707641497928,-0.10449049829658551,1
108,-0.17705623225894246,-0.14827401751021901,-0.14224915784415756,-0.1096077795691894,-0.2896537326048783,-0.0018643131820378384,-1.065876429109148,-0.5756999055653853,-0.7078765269587438,-0.5756999055653845,-0.5756999055653853,-0.0764780515248356,0.060018225466634954,0.18168142473234128,-0.23187152312973494,1
292,-0.5176933295614569,-0.535090291758521,-0.5757430637640468,-0.5709129802237873,-0.1958216464553336,-0.07676222471229553,-0.15812337443713517,0.15393253883305077,0.38691797521567595,0.1539325388330513,0.15393253883305097,-0.5471060706033879,-0.561414910134425,-0.4558711151078308,-0.042417400967353525,0
5,-0.08641131128899089,-0.032824237196110405,-0.03553920199638312,-0.020710170044665407,0.6435951242338366,2.006695350770551,0.7687426567293179,0.11027792861437406,0.7831376682240986,0.11027792861437487,0.11027792861437385,-0.3650514550590114,-0.255294583559626,-0.09277686308248456,-0.2091914619835079,1
89,0.06023990598850512,0.03530303522842105,0.05722653678737669,0.03975381368879963,-0.42521458433935566,-0.2502751878875478,0.15596634617895372,-0.42534304174529125,-0.134332541142913,-0.42534304174528986,-0.42534304174529125,-0.07216391795752347,0.03541552458457097,0.13383759697087033,-0.19933634354306962,1
38,0.1149526436986978,0.1569418759305028,0.16134335753201817,0.21225114348789004,-0.17322817116625402,0.321150880899457,0.5766764661677918,-0.18045528405017516,-0.13218050572223353,-0.18045528405017489,-0.18045528405017508,0.07053274282258902,0.0011027697549924724,-0.0675229688919361,0.006179306526632844,1
174,-0.03026128624840754,-0.05529528722013497,-0.08979933085249585,-0.12555005180759546,-0.12366085293000804,0.2562255289572715,0.27047157668019217,0.9756616051612308,0.6054773791926885,0.9756616051612316,0.9756616051612308,-0.29996034397013976,-0.27566042010192215,-0.19298052310455371,-0.10049876833985263,0
67,-0.7863702411890939,-0.8198346777621018,-0.8369647300965851,-0.8583599254004062,-0.3943214650665326,-0.3855988324738528,-0.2502931261653072,-0.32464532560889653,-0.455717703038438,-0.32464532560889564,-0.32464532560889653,-0.7775724443218155,-0.8568381859552879,-0.7523238149211083,0.07323655837561713,1
256,1.6752717695704682,1.6287004361904422,1.5645719378686354,1.5143167867642584,0.2196216440642722,0.7208255394368466,-0.7159561422364366,0.7678559234325383,-0.4309430342685115,0.7678559234325388,0.7678559234325384,1.4871171691516913,1.8192729721576189,1.7587669068870009,-0.3395584383050635,0
107,-0.5524277733792238,-0.5636075777000267,-0.556270086951844,-0.5889938499575887,-0.31731921255069,-0.18842936234615906,-0.4500853207980849,-0.39880947754174584,-0.33827287990038707,-0.39880947754174484,-0.39880947754174534,-0.6439415558908794,-0.575956777716171,-0.38625224977755523,-0.1595357535942235,1
34,-0.3715212080607577,-0.40074007318267985,-0.37249998417135816,-0.3790710639890705,-0.1649285271825105,0.0008450318068496255,0.539046723702554,-0.3438760739766048,0.37150520360810413,-0.34387607397660397,-0.34387607397660497,-0.7137386097818039,-0.5625996502034594,-0.2938320292822127,-0.2776029896954516,1
181,1.4767344796658801,1.4629288341064313,1.425912600467172,1.3834248991483247,0.126942286245803,0.7925258494607847,-1.3653438947896224,2.3390973217122717,-1.3733016853334454,2.3390973217122726,2.339097321712272,2.215003717196903,2.2273153348019945,1.7647980406222898,-0.10582545939451139,0
290,-0.5195138935132846,-0.4983844028421592,-0.5024013747150723,-0.4933888210156865,0.037029476421914946,0.5273929868379953,-0.7660356973938909,-0.14175036012023107,-0.37073752858145975,-0.14175036012023026,-0.14175036012023126,-0.45164669146414427,-0.3955358249099419,-0.2559754857585338,-0.1416912408588659,0
244,-0.8843932371217161,-0.8952459981817095,-0.8955793688428637,-0.9043397715514175,-0.22025948707413393,-0.12119356779860903,-1.100149315506813,-0.6305521667323514,-1.003902541450112,-0.6305521667323507,-0.6305521667323513,-0.6780648342976348,-0.7173346129498426,-0.60315138866157,0.0009804652957036589,0
197,-0.5078718661371227,-0.4837686986951772,-0.4796502837158905,-0.4691351812383559,-0.44066114397576717,-0.18057577221936041,-0.6456499953525002,-0.208530553819065,-0.5762841753570492,-0.2085305538190647,-0.20853055381906488,-0.4644302306295554,-0.4059233644702263,-0.26178928724910405,-0.14494866333164821,0
279,0.8704387741295486,0.9021047466424317,0.9454487002263915,0.9558026090462121,-0.6428496932464077,-0.7481851430008182,1.65373009694867,-0.2501566040833438,1.003779885224783,-0.25015660408334317,-0.25015660408334367,0.5030255537833103,0.628622958831208,0.6183798003898651,-0.20576186853479606,0
253,-0.36208302125786096,-0.35051346772643904,-0.32489393784403836,-0.30942083192310904,-0.5045222935173492,-0.4088436721664986,-0.10829995553206918,-0.1841878343662704,0.7385164527445482,-0.1841878343662689,-0.1841878343662701,-0.44059842462031423,-0.37827713685058434,-0.23627719018786073,-0.1498507894239145,0
19,-0.1913811959851664,-0.1973580272025269,-0.2108449203836253,-0.1984081801166506,-0.18798309380402026,0.14077041428947462,-0.8808156291751599,0.7676124962380106,-0.3835326300267889,0.7676124962380115,0.7676124962380109,0.2532705033855875,0.11422567202150635,-0.04707960105619331,0.0797415661896851,1
14,-0.9375728683461594,-0.9497573377527009,-0.9244463445192445,-0.9417166232323136,-0.5033695651862737,-0.569323696667291,-0.7854921866209673,-0.38842325057521865,-0.47632080621505435,-0.3884232505752179,-0.38842325057521876,-0.642656959362237,-0.7882539444552856,-0.7636933793329944,0.17070441418636415,1
91,-0.8535394690960031,-0.8712038789822765,-0.8745407255532979,-0.8369739504464472,-0.05680260972762976,0.15179288495097912,-0.1319291608148756,-0.38558326663905984,-0.38998936842144266,-0.3855832666390591,-0.38558326663905995,-0.7361423367848173,-0.8395416687500395,-0.7624855702537569,0.11017316520179751,1
296,0.9737318236069353,0.9343354688167209,0.8354606301916384,0.8079477549327062,-0.39478255639896276,-1.2931632366958716,-1.0370994522729535,1.2756450512178397,-0.6706796205121262,1.2756450512178403,1.275645051217839,1.2066709918907321,1.207825011565095,0.9515722239220545,-0.09091144122418016,0
168,-0.37861182555735023,-0.3716990975160385,-0.33727248843068974,-0.32861960489314046,0.016510912128771264,0.6062767309844137,1.7384266166626055,-0.14718690079802157,1.7443193442924365,-0.14718690079802096,-0.1471869007980215,-0.7360843847964841,-0.8237634759003175,-0.7345847984044482,0.08364427285526155,0
44,-0.8366273881750768,-0.80012490083425,-0.8012479635817409,-0.8094638099374912,-0.19098018746481654,0.1726570752187603,-0.8698000398057515,-0.1444280592600386,-1.2296918795040264,-0.14442805926003813,-0.1444280592600388,-0.6444692544407574,-0.6467884143834127,-0.5112411659810281,-0.05704848224377637,1
280,-0.5073448607826462,-0.48157872348097125,-0.49506231310243304,-0.47064192038283936,-0.026140036121021785,0.38076604431218575,1.2728328920354204,-0.14207492971293406,1.5658248554361782,-0.14207492971293353,-0.14207492971293387,-0.8299443818487877,-0.8578251827617106,-0.702484676540391,-0.0092449585780865,0
238,-0.5130940101042075,-0.4476341076607818,-0.4919799072251246,-0.42286370815615426,0.062389499705575675,0.538629269177068,0.5661459717304516,0.4760678595917037,0.8535170949183001,0.4760678595917043,0.47606785959170395,-0.797577330237708,-0.6648896606921559,-0.3924989759581691,-0.2564437159797985,0
120,-0.5442831451736785,-0.5578945988803594,-0.5415919637265656,-0.5241554622562683,0.06700041302987762,0.48164686149559033,0.053774515720982796,-0.7529149031817347,-0.2116618628167734,-0.7529149031817336,-0.7529149031817345,-0.6745617715180634,-0.546290129804635,-0.3035231320055237,-0.24435924441013768,1
259,0.11801885667019771,0.10528702576934483,0.046266871445835425,0.011368792386272895,1.0664158760723255,2.1106237821640703,-1.0619803106585295,-0.1755867401596152,-0.30932909622383137,-0.17558674015961406,-0.1755867401596154,-0.06904757236728352,0.14407802664923355,0.3233102661995237,-0.3146320091604004,0
41,-0.5278022504518691,-0.507382344483135,-0.5007378540828739,-0.532126598375471,0.004983628818016387,0.3309989829438701,0.024205778932841378,-0.8120677114520267,-0.18310405761456414,-0.8120677114520257,-0.8120677114520265,-0.6762202209914053,-0.5446359644252283,-0.2989584408200584,-0.24896244135940007,1
79,-0.7296932107940343,-0.7239994580621841,-0.7011920902627597,-0.6901397905921075,-0.11789721127463061,0.0910544124262499,0.4604824205822883,-0.4661576680278103,1.2504842109006271,-0.46615766802780917,-0.4661576680278103,-0.9476110313191403,-0.8995748037720922,-0.6605566904555591,-0.13127048598586483,1
283,2.195905150215535,2.299546974089867,2.259287510121063,2.2860102511824487,-0.5750692673791691,-0.610905281125717,0.4203989411624348,1.2167356701420755,0.10585418631280089,1.216735670142076,1.2167356701420757,2.1530010510553157,2.2148506312309806,1.8037860584316125,-0.13956802932859794,0
138,-0.36304121281145474,-0.325709618017717,-0.3141789078895854,-0.30441456960434154,-0.5367986867874629,-0.48628179407503,-0.011943993007323395,0.44783030502646104,-0.0799994585907129,0.4478303050264618,0.4478303050264613,-0.2992116656943577,-0.3186893540460649,-0.2699622625813407,-0.04322523299862382,1
187,-1.1029567304964094,-1.0170276633542825,-1.0765606282105464,-1.0207961260734293,0.6440562155662668,2.1290115864349413,-0.7003280502161586,-0.8114185722666181,-0.5546948931682869,-0.8114185722666172,-0.8114185722666183,-0.9284290227704434,-0.9586897222529775,-0.7841990896073049,0.00034882922608257913,0
261,-2.5392858693331717,-2.5593415120371126,-2.5403609303901464,-2.5627249202538587,2.4351654963913596,-1.2921647233967515,-1.3694253973596067,-2.1897844900820402,-0.3012806405629478,-2.1897844900820393,-2.1897844900820402,-2.802301101286861,-2.7413865028498305,-2.0971896244767434,-0.26283480716697016,0
117,0.763696235059225,0.7282397578972257,0.8029241237089381,0.7786392483480764,-0.7046359317920539,-0.9214077052408658,0.4218239292710374,-0.5047003071614015,-0.18282272803321387,-0.5047003071614008,-0.5047003071614015,0.5769819407876843,0.7356003443970989,0.7350868619727038,-0.2348050272625481,1
99,-2.5512153541754112,-2.5716720246562272,-2.553424460060644,-2.5733206987537747,2.312976293297358,-1.292008122937272,-2.5469152558469124,-2.2288951260028638,-0.440131006489542,-2.2288951260028633,-2.2288951260028638,-2.78727965112247,-2.735483436584236,-2.1015264103140017,-0.17553744844122174,1
8,-0.4954153759404062,-0.515618555614822,-0.49051209490259673,-0.4916876639170763,-0.12481358126108354,0.22110616311191636,-0.11080942006134702,-0.43767668626804085,-0.36840445433235613,-0.43767668626804007,-0.4376766862680407,-0.7121210329263779,-0.5414479991306136,-0.25794614473863453,-0.3039344076220609,1
227,-0.6533732535503064,-0.6742013260174182,-0.6601911993868154,-0.6905286265003612,-0.09138445965989439,0.14767940357209108,-0.5619629291906141,0.1634261994196395,-0.6723323620370644,0.16342619941964098,0.16342619941963932,-0.6215179211998253,-0.6605031992754558,-0.5581506023319829,-0.0024452029271931487,0
182,-0.6651111000818276,-0.6915783032605726,-0.6542220959418686,-0.6631642994570003,-0.5455594221036366,-0.603830348451555,-0.41926735190124986,0.03035266641102758,-0.9568048438666996,0.030352666411028323,0.03035266641102748,-0.6499806052596372,-0.6416969552478389,-0.4967905995469485,-0.07275140415368159,0
132,-1.436599029457691,-1.2651613767551626,-1.424578929881898,-1.2582776570394356,2.678621719914503,6.169219384298423,-1.2737129440131614,-0.092659209223761,-0.785526576716532,-0.0926592092237604,-0.0926592092237609,-1.0233916187794165,-1.0834640014538544,-0.9117492190343133,0.06147324789884782,1
31,0.24742262598300935,0.240922664579611,0.28341641568891673,0.2736386125034581,-0.47247644591345067,-0.494681082662488,0.9978914796776928,-0.7189162383459977,0.05074865855878182,-0.7189162383459972,-0.7189162383459979,-0.12212345296050371,0.1064380264878976,0.30889624738932975,-0.33419264436110835,1
171,-0.4363428666613626,-0.4666297622361754,-0.45327858898780704,-0.44954757236007103,-0.3452152381627168,-0.2586074608745739,0.47258360834736507,-0.5509514741217135,0.20970900748068375,-0.5509514741217129,-0.5509514741217135,-0.7225019618858914,-0.5620167374554149,-0.28416696742430464,-0.29085432051715504,0
55,-0.6339219650123569,-0.6422086446272816,-0.6720315521218734,-0.6293841799274519,-0.1001451949760681,0.3067648653400875,0.9908278536722753,-0.3792541595813341,0.3342168783145629,-0.3792541595813335,-0.379254159581334,-0.9177872306536572,-0.8423307085061699,-0.5885015436013179,-0.17498423453860187,1
