,open,high,low,close,tick_volume,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
19,0.0009270341257585,-0.1439873714006721,0.0548435118065926,-0.0331731063431197,-0.1400466928501491,-0.0348944522904014,0.7130970356961077,0.172662084714614,0.172662084714614,0.1726620847146129,-0.6655269293264319,-0.8255406201916539,-0.7904657279858347,-0.0012068214893683,1
26,0.3630156573626948,0.2577328810965023,0.2518324521731248,0.0657137964474579,-0.4943524278154015,-0.3737889466914481,0.6743823557288786,-1.0081025060749127,-1.0081025060749125,-1.0081025060749145,-0.6397792888228708,-0.638753263038999,-0.42129063771921,-0.3148092987641439,0
32,0.2343215081399278,0.1787429438077318,0.2607864949170579,0.2956833378208948,-0.2180410416895239,-0.1864867003252543,1.1106034725191154,-0.9663249879650416,-0.9663249879650416,-0.9663249879650424,-0.6770203095020412,-0.6962594312255169,-0.4902560678887366,-0.2954963859032039,0
17,0.1361649536479884,0.2487054596920716,0.2786945804049258,0.3784723727153318,0.1621125314267352,0.1687255452124767,1.285673560561533,-0.0999911913708647,-0.0999911913708641,-0.0999911913708655,-0.4093630702524838,-0.7483272820086301,-1.0121791326634924,0.5069785421215126,1
30,-0.3109926834819629,-0.2387752961471967,-0.1667690461057576,-0.329833814714853,-0.4517235319500785,-0.3546218891590406,0.745586806864351,-1.254369981248897,-1.2543699812488975,-1.254369981248898,-0.8094459465407083,-0.6389686419460648,-0.1630871343307189,-0.7510993379510704,0
36,0.1841526025107145,0.1584312456477615,0.0302198942607761,-0.0285737155156503,-0.254608719693855,-0.2184708174043984,0.7233946139248366,0.6014313495264504,0.6014313495264504,0.6014313495264493,-0.7464405529273906,-0.542963494121568,-0.0492201326091126,-0.7763356907644303,0
33,-0.2346486966548979,-0.1936381891250417,-0.1869156422796083,-0.2470447798204159,0.1471348112578379,0.0320913233420212,0.2660252333038662,-0.4276148860219583,-0.4276148860219593,-0.4276148860219593,-0.6337070293096168,-0.5885699776927106,-0.3208174393507136,-0.3991348852260674,0
28,-0.5836497792929083,-0.2229773086894426,-0.4555369245976072,-0.2010508715457279,-0.0976181678232059,-0.997926794170952,1.057004830878319,-1.3643108183801402,-1.364310818380141,-1.364310818380141,-0.8693882515585635,-0.703151556251617,-0.2120414993315784,-0.7801244876919442,0
4,-0.9501009160628188,-0.9948218387682836,-0.838322251900757,-0.9967454846978194,-0.1244678601661121,0.0091016493873303,-1.5873804959445736,1.590898883707621,1.590898883707621,1.59089888370762,1.3995979944435386,0.6432896812690653,-0.7272125893579374,2.049998241069612,1
14,1.966239380731054,1.930062696267324,1.935192488032589,1.9399655586409688,-0.3282950955080621,-0.2728873297409949,-1.2005433158823526,0.8696869921266921,0.8696869921266913,0.8696869921266911,1.4984625499637731,1.998722988159738,2.08585445960338,-0.1372288791829943,1
