,open,high,low,close,tick_volume,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
158,-0.5671263452306179,-0.5705154887107888,-0.5672612426386673,-0.5702721817928241,-0.3639986079221497,-0.5499815951306165,0.9572739538848557,-0.5623428317221632,0.8512750632394837,-0.562342831722163,-0.5623428317221632,-0.6369210348127841,-0.6129000927986986,-0.5168413512509102,-0.14594623919983518,0
150,-0.3860054222199473,-0.39122671145945376,-0.3867500658029565,-0.39083180693556374,-0.3051810279684079,-0.29852095531082534,0.9152445717764122,-0.4249561734836053,0.3920678471923474,-0.42495617348360515,-0.4249561734836052,-0.48137009780290574,-0.45853881234958127,-0.3790186990664053,-0.0687699009421674,0
102,-0.495559622847354,-0.48844798682781554,-0.4914955059046933,-0.4873063612147605,-0.2924849454363852,-0.2255450827147309,1.7994535560877216,-0.48956854979603465,0.8904216283777234,-0.48956854979603465,-0.4895685497960347,-0.5750562157835286,-0.569325920030657,-0.5062126856660137,0.15170675013640467,1
163,-0.5768244602616655,-0.5771475802850787,-0.5721964782258204,-0.5747113124141597,-0.34669037564795513,-0.500087398313152,0.3071048535439152,-0.5962261211622998,-0.016377592506544494,-0.5962261211622997,-0.5962261211622998,-0.6451424048001451,-0.6029594514089013,-0.4792419483532188,-0.46153756665352375,0
112,-0.35461112889809776,-0.3626605516618139,-0.3627845617917412,-0.3607911385066984,-0.26656060924824304,-0.08056152108,0.6275611319309077,-0.4034620714491231,0.4269038156321373,-0.403462071449123,-0.40346207144912305,-0.4633871140630086,-0.43432981966772966,-0.347304395967936,-0.11811967958241788,1
246,-0.565938038645786,-0.5630682797363068,-0.5614968874728725,-0.5650676838229826,-0.3258343358797821,-0.35965263011647824,1.279131784857334,-0.562180243960934,0.4543026880532908,-0.562180243960934,-0.562180243960934,-0.6377560518401859,-0.607624516242457,-0.5024434668859016,-0.25377077495065936,0
39,0.42924955991570163,0.47698447211784184,0.45780692975537485,0.4941241897746405,-0.01190405562689374,1.2250391424044584,1.1117322554843543,0.07370049020593003,0.41000238257598887,0.07370049020593009,0.07370049020593004,0.1515974033455411,0.2880452736332003,0.4755699941441719,-0.3325224576049876,1
170,-0.5991722905506011,-0.601489949918087,-0.5995969062056943,-0.598858652259528,-0.35120115946172764,-0.5071812047629888,-0.9432798545243815,-0.5988275253419648,-0.41109134886077664,-0.5988275253419647,-0.5988275253419648,-0.654580798494626,-0.6130310066526355,-0.48935381808616013,-0.4803014858655194,0
85,0.33487501759776067,0.3578291285261299,0.3641164173688608,0.38800600690426673,-0.16395294822596787,0.3832061073208416,1.777302177762952,0.08013896555060042,1.1088676669145203,0.08013896555060054,0.08013896555060046,0.06412837359682892,0.15969556893167997,0.2950315525917468,-0.25339991330924294,1
243,0.3482913822652178,0.33156011776539507,0.36988077253465573,0.35830975378222923,-0.3190681601591233,-0.29206404414547027,0.27173576584549064,0.05929521456103552,0.3879378263795995,0.05929521456103567,0.05929521456103552,0.14200132757480355,0.25355954341730974,0.40516210417541704,-0.275224467664382,0
