,open,high,low,close,tick_volume,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
19,-0.8616311072604547,-0.9458849148120658,-0.9049909852755542,-0.7782593627435821,-0.9286883944683813,-0.4449038826754378,0.7326103836166614,-0.3108535533889036,-0.3108535533889031,-0.3108535533889028,-1.4566513256171731,-1.3399349210753846,-0.9597403252319038,-0.6027381624376322,1
26,0.2057263696162198,0.1247767957065922,0.1793403351189721,0.2738109582791238,-0.5816393490026589,-1.5322026521025989,-0.2353520670824085,-0.3224130285691536,-0.3224130285691532,-0.3224130285691532,0.3452215050886686,0.3838657538367613,0.3553504975739875,-0.0237901054539593,0
32,0.5471903081932927,0.5236957199683646,0.4974705985405036,0.401059204450337,-0.7825213415357459,-1.5321771736804688,-0.0071343086428526,-0.3879167212572389,-0.3879167212572384,-0.3879167212572387,0.3671832596703259,0.3981845475545209,0.3584723530391213,-0.0020131673636215,0
17,1.0062444772737271,1.0899771814204176,0.9881081174793516,1.1895438726898158,-0.0807631590602381,-0.2467403507398236,0.9158632859731236,-0.2389279300451252,-0.2389279300451253,-0.238927930045125,0.4982410504764071,0.7516849404363449,0.8941413447414371,-0.4822526669502467,1
30,-1.5061160244423455,-1.603871876094412,-1.619663900990129,-1.757616400239879,-0.9421326367702064,-0.4245182083733467,-0.752614194148406,-0.4701174336501313,-0.4701174336501315,-0.4701174336501311,-1.8658852541055468,-1.6461750179292254,-1.0939578901674325,-0.9758256837336612,0
36,0.7891548209598255,0.684180344671373,0.7192656413484768,0.630560505580558,-0.2980596334734606,-0.5282937947950043,0.06591760079257,-0.4906676117483522,-0.4906676117483523,-0.4906676117483521,0.4663929196018212,0.2693154040946737,-0.0007636560803421,0.5488456138997317,0
33,0.5336222046736735,0.569548469883508,0.2219070605063599,0.0965723296835057,0.7584076860118326,0.2586511363485017,-1.4345243074521612,0.258129502705651,0.2581295027056507,0.2581295027056508,0.7527514063197472,1.187042483531267,1.44999699635694,-0.8241156556897961,0
28,-1.2257085517035575,-1.3631449390398946,-1.3732249645368273,-1.46449097602405,-0.2056695497481265,0.5404254173145409,0.1223716048342671,-0.6974537788617241,-0.697453778861724,-0.6974537788617243,-1.883717939831536,-1.7290253792672508,-1.2338742877613704,-0.8118925218870681,0
4,-1.1578680341054646,-0.9321290898375232,-1.0797385947606226,-0.937319670457597,2.4531638580361097,1.4011742808893826,-1.4759437354777982,2.728004032885825,2.728004032885825,2.728004032885826,1.0601978498862186,0.6489703565996907,0.0691817327863515,1.1323581807208671,1
14,-1.899591026511288,-1.3769007640144388,-1.897467792992031,-1.25771257599583,3.909050236604701,2.755358059394943,-1.866997461273288,3.2571711189150694,3.257171118915069,3.2571711189150694,1.0378962747856,0.7107977491266712,0.2133153331326965,0.9329564728873974,1
