,open,high,low,close,tick_volume,real_volume,RSI,ATR,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
19,0.0260178990650241,0.0589893582580807,0.0928333807960442,0.1302872140987801,0.1018056301091507,0.400615877210135,-0.039216276740567,0.4027630688335626,0.4027630688335623,0.4027630688335629,0.0812038754484581,0.1705219752456788,0.2090505673602491,-0.2587971424127706,1
26,0.0398941118997037,0.0001252427988491,-0.0643716614533178,-0.1133341790112307,0.4692907928965509,0.5706655288230624,0.6679815541134495,-0.4358892523113328,-0.4358892523113328,-0.4358892523113326,-1.1132451769725726,-0.4137134310113182,0.109640416876054,-0.9220420165944632,0
32,-2.0875816104355103,-2.033191596521636,-1.9964723420019368,-2.0334223752236387,-0.8480766225798924,-1.342390081067626,0.7535084732613575,-0.8091420238918114,-0.8091420238918116,-0.8091420238918112,-1.436453395284172,-2.3180989090946493,-2.61797612333776,2.736113592139048,0
17,0.0127724231773756,-0.0286806009365192,0.0154986422701481,0.0329642348924614,-0.6146623441246885,-0.1875123069146315,-1.0442968197155604,0.4260913670573433,0.4260913670573433,0.4260913670573433,0.1533922639976774,0.2638446604927247,0.3047787916160936,-0.3162530514253322,1
30,-0.1632031850442448,-0.1977583793832489,-0.3401143766890957,-0.3481651094832524,0.3269650133506949,0.2640600672726776,2.044640317742997,0.1216570752370153,0.1216570752370148,0.1216570752370142,-1.0189928012403444,-0.791667914598975,-0.5383344292416996,-0.1121460224883018,0
36,0.751365388150555,0.9137714604054364,0.5194422252872586,0.561647773548723,3.710048793155692,4.61014043456138,0.805631922299579,0.8763275227763014,0.8763275227763003,0.876327522776301,0.0899253576638245,0.4461132879319155,0.6293920587990371,-0.6858677098807211,0
33,0.1799177141405627,0.1009456958726397,0.1105823371790368,0.1095668378806607,-0.7789062937206063,-0.2557616556704916,-0.1862175329381857,0.5660611564000249,0.5660611564000243,0.5660611564000237,0.1190745490334035,0.2041965884768014,0.2356342109975548,-0.2641427085783733,0
28,0.8882353056562596,0.8724413367851248,0.9587288957663248,0.9735437371574018,-0.3109391305738317,-0.0923097872398775,0.799351179893103,-1.0937472622219315,-1.0937472622219315,-1.0937472622219315,0.9386106804857228,0.8837158435354956,0.7348055194936639,-0.2961937201227479,0
4,0.8062395025422433,0.7622276737976267,0.8306828532890208,0.7996181549628829,-0.6323107407883746,-0.3304958607668667,-1.4911345296865048,-0.6901677029505343,-0.6901677029505328,-0.6901677029505338,1.0635259503480696,1.042354841803985,0.8960509696926438,-0.38221056999308,1
14,-2.2023757347951327,-2.1246188396817187,-2.1276878409762032,-2.118815440849828,0.2096885710049095,-1.342358623154127,0.1141560063358369,2.269026926735972,2.2690269267359717,2.269026926735972,-1.1256709215793923,-2.107489076627844,-2.5014861995473314,2.7183511372658886,1
