,open,high,low,close,tick_volume,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
158,-0.6430560902248714,-0.5252849479022219,-0.5629888821097249,-0.46467814190442314,1.3024019048789846,1.8864367190559983,1.1106851458947316,-0.9789261128339088,0.09754671287378196,-0.978926112833909,-0.9789261128339082,-0.7876056256955674,-0.8018266307880721,-0.7779039089476527,-0.023942619856235393,0
150,0.9947918161856181,1.0182711263029862,0.9810427221239327,0.9345172504198768,0.09556101155039774,-0.16046958622566074,-0.545480385322928,0.25401787797214503,-0.5469015419764709,0.25401787797214487,0.2540178779721452,1.0227220938917494,1.1578162704286883,1.2674447349435312,-0.4358741579028618,0
102,-0.8524482043544083,-0.8814901957957313,-0.8135298594004691,-0.8058753789671109,-0.77653168569061,-0.7416412174411882,-0.5661941787785639,-0.7193589568747398,-0.9220094361818898,-0.7193589568747399,-0.7193589568747397,-0.7757751034289064,-0.6956809950388905,-0.5585994510001944,-0.5829566520502163,1
163,0.2518800687945205,0.3680551976084845,0.3255576071190782,0.4614286444085871,0.098625800992577,-0.061482515788786274,0.12684224348324433,1.6600066394176465,-0.6121439008123821,1.6600066394176467,1.6600066394176463,0.7439320619549231,0.576142237883315,0.3349308640470681,0.8711290160504951,0
112,-1.2999162838641043,-1.3451224232126804,-1.3291781498709545,-1.3678472988350678,0.6485496617967415,1.3359124938249498,-2.0955355533871978,-0.48451248243549283,-2.1373401890757306,-0.48451248243549283,-0.4845124824354927,-0.6356850823085732,-0.6657009299799609,-0.6687556264408178,0.09399932314827371,1
246,-0.9901306903573917,-0.9860901495422378,-0.9504534167570389,-1.0008452287172183,-0.4724771271508262,-0.1364761586534807,-2.3772694568621864,-1.266304035502989,-1.1441510607454008,-1.266304035502989,-1.2663040355029889,-0.5816746234483501,-0.632783628817286,-0.6641007391002871,0.22541520476106217,0
39,0.18017044066796667,0.11644990346148158,0.1478483092733178,0.0886921669451463,-1.1530433558186317,-1.7790047550780312,1.044388387199024,0.13041447037254,1.1368934489196454,0.1304144703725401,0.13041447037253986,-0.052395758282984026,-0.37136961558385334,-0.7534269816809884,1.7713798525345357,1
170,-1.6097018773708167,-1.5571493564826264,-1.5651527912727023,-1.5943563889859276,-0.04944469787808348,0.5792790834655653,-0.41643736175684254,-0.8522326200443147,-0.05117112599298033,-0.8522326200443145,-0.8522326200443142,-1.7435300019948836,-1.6208090837154405,-1.3818313762522025,-1.2658337219846612,0
85,-0.4250588207201474,-0.4037228394941195,-0.3444938437747733,-0.35859160601098206,-0.3215705544679998,0.011172319733504433,0.7154699835860702,-0.3361883933159656,0.7284577246144255,-0.3361883933159658,-0.33618839331596534,-0.6568997566321397,-0.6257950325704407,-0.5540112321525164,-0.268127175441381,1
243,1.488154057696308,1.425362838181282,1.4704716079942242,1.3731994123576188,-0.6387991332965541,-0.6225935098061779,0.5907465195559691,0.8133232973603561,0.4416317526850541,0.8133232973603557,0.8133232973603567,0.9007294889537888,1.1038318965218992,1.3018638335510557,-0.7374664858629664,0
